ts_id,date,total,duoarea,process
4,2018-07-31,143671.0,NUS,VGL
4,2018-08-31,146569.0,NUS,VGL
4,2018-09-30,144167.0,NUS,VGL
4,2018-10-31,150862.0,NUS,VGL
4,2018-11-30,148545.0,NUS,VGL
4,2018-12-31,152744.0,NUS,VGL
4,2019-01-31,148790.0,NUS,VGL
4,2019-02-28,135307.0,NUS,VGL
4,2019-03-31,150489.0,NUS,VGL
4,2019-04-30,146340.0,NUS,VGL
4,2019-05-31,152372.0,NUS,VGL
4,2019-06-30,147863.0,NUS,VGL
4,2019-07-31,153635.0,NUS,VGL
4,2019-08-31,157370.0,NUS,VGL
4,2019-09-30,152877.0,NUS,VGL
4,2019-10-31,159359.0,NUS,VGL
4,2019-11-30,156747.0,NUS,VGL
4,2019-12-31,161790.0,NUS,VGL
4,2020-01-31,162818.0,NUS,VGL
4,2020-02-29,149588.0,NUS,VGL
4,2020-03-31,159544.0,NUS,VGL
4,2020-04-30,153753.0,NUS,VGL
4,2020-05-31,147092.0,NUS,VGL
4,2020-06-30,146300.0,NUS,VGL
4,2020-07-31,151284.0,NUS,VGL
4,2020-08-31,151325.0,NUS,VGL
4,2020-09-30,147805.0,NUS,VGL
4,2020-10-31,150189.0,NUS,VGL
4,2020-11-30,149864.0,NUS,VGL
4,2020-12-31,155818.0,NUS,VGL
4,2021-01-31,153936.0,NUS,VGL
4,2021-02-28,128738.0,NUS,VGL
4,2021-03-31,155447.0,NUS,VGL
4,2021-04-30,151610.0,NUS,VGL
4,2021-05-31,156538.0,NUS,VGL
4,2021-06-30,150946.0,NUS,VGL
4,2021-07-31,157451.0,NUS,VGL
4,2021-08-31,157918.0,NUS,VGL
4,2021-09-30,153861.0,NUS,VGL
4,2021-10-31,161515.0,NUS,VGL
4,2021-11-30,158068.0,NUS,VGL
4,2021-12-31,164714.0,NUS,VGL
4,2022-01-31,154492.0,NUS,VGL
4,2022-02-28,139174.0,NUS,VGL
4,2022-03-31,156745.0,NUS,VGL
4,2022-04-30,152771.0,NUS,VGL
4,2022-05-31,159113.0,NUS,VGL
4,2022-06-30,154352.0,NUS,VGL
4,2022-07-31,161168.0,NUS,VGL
4,2022-08-31,161995.0,NUS,VGL
4,2022-09-30,159036.0,NUS,VGL
4,2022-10-31,164161.0,NUS,VGL
4,2022-11-30,158852.0,NUS,VGL
4,2022-12-31,160944.0,NUS,VGL
4,2023-01-31,163732.0,NUS,VGL
4,2023-02-28,148166.0,NUS,VGL
4,2023-03-31,165937.0,NUS,VGL
4,2023-04-30,160544.0,NUS,VGL
4,2023-05-31,167129.0,NUS,VGL
4,2023-06-30,161186.0,NUS,VGL
4,2023-07-31,166886.0,NUS,VGL
4,2023-08-31,168744.0,NUS,VGL
4,2023-09-30,163600.0,NUS,VGL
4,2023-10-31,168886.0,NUS,VGL
4,2023-11-30,165642.0,NUS,VGL
4,2023-12-31,171743.0,NUS,VGL
4,2024-01-31,165729.0,NUS,VGL
5,2014-01-31,86069.0,NUS,VGP
5,2014-02-28,73402.0,NUS,VGP
5,2014-03-31,67924.0,NUS,VGP
5,2014-04-30,51310.0,NUS,VGP
5,2014-05-31,46987.0,NUS,VGP
5,2014-06-30,45272.0,NUS,VGP
5,2014-07-31,48869.0,NUS,VGP
5,2014-08-31,50302.0,NUS,VGP
5,2014-09-30,46966.0,NUS,VGP
5,2014-10-31,49702.0,NUS,VGP
5,2014-11-30,62258.0,NUS,VGP
5,2014-12-31,71090.0,NUS,VGP
5,2015-01-31,78800.0,NUS,VGP
5,2015-02-28,74108.0,NUS,VGP
5,2015-03-31,64931.0,NUS,VGP
5,2015-04-30,49581.0,NUS,VGP
5,2015-05-31,45560.0,NUS,VGP
5,2015-06-30,46785.0,NUS,VGP
5,2015-07-31,51094.0,NUS,VGP
5,2015-08-31,50694.0,NUS,VGP
5,2015-09-30,46786.0,NUS,VGP
5,2015-10-31,48969.0,NUS,VGP
5,2015-11-30,56016.0,NUS,VGP
5,2015-12-31,64859.0,NUS,VGP
5,2016-01-31,78465.0,NUS,VGP
5,2016-02-29,66993.0,NUS,VGP
5,2016-03-31,58956.0,NUS,VGP
5,2016-04-30,51848.0,NUS,VGP
5,2016-05-31,48644.0,NUS,VGP
5,2016-06-30,49713.0,NUS,VGP
5,2016-07-31,54504.0,NUS,VGP
5,2016-08-31,55109.0,NUS,VGP
5,2016-09-30,48332.0,NUS,VGP
5,2016-10-31,47637.0,NUS,VGP
5,2016-11-30,53930.0,NUS,VGP
5,2016-12-31,72600.0,NUS,VGP
5,2017-01-31,78712.0,NUS,VGP
5,2017-02-28,62816.0,NUS,VGP
5,2017-03-31,67554.0,NUS,VGP
5,2017-04-30,50973.0,NUS,VGP
5,2017-05-31,49723.0,NUS,VGP
5,2017-06-30,50330.0,NUS,VGP
5,2017-07-31,56698.0,NUS,VGP
5,2017-08-31,55349.0,NUS,VGP
5,2017-09-30,50513.0,NUS,VGP
5,2017-10-31,53456.0,NUS,VGP
5,2017-11-30,62661.0,NUS,VGP
5,2017-12-31,83080.0,NUS,VGP
5,2018-01-31,98811.0,NUS,VGP
5,2018-02-28,79713.0,NUS,VGP
5,2018-03-31,81905.0,NUS,VGP
5,2018-04-30,68299.0,NUS,VGP
5,2018-05-31,59007.0,NUS,VGP
5,2018-06-30,59376.0,NUS,VGP
5,2018-07-31,68011.0,NUS,VGP
5,2018-08-31,66785.0,NUS,VGP
5,2018-09-30,61997.0,NUS,VGP
5,2018-10-31,65791.0,NUS,VGP
5,2018-11-30,79115.0,NUS,VGP
5,2018-12-31,87724.0,NUS,VGP
5,2019-01-31,113780.0,NUS,VGP
5,2019-02-28,100173.0,NUS,VGP
5,2019-03-31,96474.0,NUS,VGP
5,2019-04-30,71767.0,NUS,VGP
5,2019-05-31,68834.0,NUS,VGP
5,2019-06-30,68482.0,NUS,VGP
5,2019-07-31,77819.0,NUS,VGP
5,2019-08-31,79079.0,NUS,VGP
5,2019-09-30,71327.0,NUS,VGP
5,2019-10-31,74586.0,NUS,VGP
5,2019-11-30,91253.0,NUS,VGP
5,2019-12-31,104519.0,NUS,VGP
5,2020-01-31,112092.0,NUS,VGP
5,2020-02-29,103171.0,NUS,VGP
5,2020-03-31,90862.0,NUS,VGP
5,2020-04-30,74694.0,NUS,VGP
5,2020-05-31,68295.0,NUS,VGP
5,2020-06-30,70368.0,NUS,VGP
5,2020-07-31,82027.0,NUS,VGP
5,2020-08-31,79755.0,NUS,VGP
5,2020-09-30,71114.0,NUS,VGP
5,2020-10-31,76824.0,NUS,VGP
5,2020-11-30,81307.0,NUS,VGP
5,2020-12-31,107395.0,NUS,VGP
5,2021-01-31,125006.0,NUS,VGP
5,2021-02-28,116585.0,NUS,VGP
5,2021-03-31,97632.0,NUS,VGP
5,2021-04-30,83304.0,NUS,VGP
5,2021-05-31,77012.0,NUS,VGP
5,2021-06-30,82167.0,NUS,VGP
5,2021-07-31,88810.0,NUS,VGP
5,2021-08-31,89526.0,NUS,VGP
5,2021-09-30,77973.0,NUS,VGP
5,2021-10-31,82432.0,NUS,VGP
5,2021-11-30,99293.0,NUS,VGP
5,2021-12-31,111733.0,NUS,VGP
5,2022-01-31,137113.0,NUS,VGP
5,2022-02-28,116426.0,NUS,VGP
5,2022-03-31,104618.0,NUS,VGP
5,2022-04-30,88023.0,NUS,VGP
5,2022-05-31,83026.0,NUS,VGP
5,2022-06-30,86221.0,NUS,VGP
5,2022-07-31,96557.0,NUS,VGP
5,2022-08-31,95588.0,NUS,VGP
5,2022-09-30,84886.0,NUS,VGP
5,2022-10-31,87701.0,NUS,VGP
5,2022-11-30,103991.0,NUS,VGP
5,2022-12-31,128187.0,NUS,VGP
5,2023-01-31,124093.0,NUS,VGP
5,2023-02-28,110670.0,NUS,VGP
5,2023-03-31,113093.0,NUS,VGP
5,2023-04-30,90903.0,NUS,VGP
5,2023-05-31,86911.0,NUS,VGP
5,2023-06-30,88627.0,NUS,VGP
5,2023-07-31,100084.0,NUS,VGP
5,2023-08-31,100399.0,NUS,VGP
5,2023-09-30,89096.0,NUS,VGP
5,2023-10-31,91555.0,NUS,VGP
5,2023-11-30,106010.0,NUS,VGP
5,2023-12-31,118994.0,NUS,VGP
5,2024-01-31,138786.0,NUS,VGP
6,2014-01-31,2997145.0,NUS,VGT
6,2014-02-28,2556038.0,NUS,VGT
6,2014-03-31,2365293.0,NUS,VGT
6,2014-04-30,1786764.0,NUS,VGT
6,2014-05-31,1636202.0,NUS,VGT
6,2014-06-30,1576508.0,NUS,VGT
6,2014-07-31,1701744.0,NUS,VGT
6,2014-08-31,1751644.0,NUS,VGT
6,2014-09-30,1635485.0,NUS,VGT
6,2014-10-31,1730740.0,NUS,VGT
6,2014-11-30,2167984.0,NUS,VGT
6,2014-12-31,2475535.0,NUS,VGT
6,2015-01-31,2903574.0,NUS,VGT
6,2015-02-28,2730693.0,NUS,VGT
6,2015-03-31,2392542.0,NUS,VGT
6,2015-04-30,1826933.0,NUS,VGT
6,2015-05-31,1678755.0,NUS,VGT
6,2015-06-30,1723906.0,NUS,VGT
6,2015-07-31,1882675.0,NUS,VGT
6,2015-08-31,1867936.0,NUS,VGT
6,2015-09-30,1723960.0,NUS,VGT
6,2015-10-31,1804380.0,NUS,VGT
6,2015-11-30,2064029.0,NUS,VGT
6,2015-12-31,2389902.0,NUS,VGT
6,2016-01-31,2880714.0,NUS,VGT
