ts_id,date,total,Sex,state_and_territory,hier_1
3,1991-06-30,2950.9740543216467,Females,Australian Capital Territory,3A
3,1991-09-30,3411.0317920446396,Females,Australian Capital Territory,3A
3,1991-12-31,3229.794111713767,Females,Australian Capital Territory,3A
3,1992-03-31,2577.5231694579124,Females,Australian Capital Territory,3A
3,1992-06-30,2849.5981655865908,Females,Australian Capital Territory,3A
3,1992-09-30,2707.7402800917625,Females,Australian Capital Territory,3A
3,1992-12-31,2908.7400458604097,Females,Australian Capital Territory,3A
3,1993-03-31,2649.667144536972,Females,Australian Capital Territory,3A
3,1993-06-30,2846.3940806910396,Females,Australian Capital Territory,3A
3,1993-09-30,2562.28092712909,Females,Australian Capital Territory,3A
3,1993-12-31,2927.15536570549,Females,Australian Capital Territory,3A
3,1994-03-31,3428.834495551884,Females,Australian Capital Territory,3A
3,1994-06-30,2288.583473198116,Females,Australian Capital Territory,3A
3,1994-09-30,3821.8815635591745,Females,Australian Capital Territory,3A
3,1994-12-31,3047.831033460796,Females,Australian Capital Territory,3A
3,1995-03-31,2731.1462295353413,Females,Australian Capital Territory,3A
3,1995-06-30,3037.5059531480074,Females,Australian Capital Territory,3A
3,1995-09-30,2874.7465774565935,Females,Australian Capital Territory,3A
3,1995-12-31,3018.7471262663603,Females,Australian Capital Territory,3A
3,1996-03-31,2425.6044738292694,Females,Australian Capital Territory,3A
3,1996-06-30,2390.9951619654894,Females,Australian Capital Territory,3A
3,1996-09-30,3128.8399362564087,Females,Australian Capital Territory,3A
3,1996-12-31,3470.971908569336,Females,Australian Capital Territory,3A
3,1997-03-31,3958.497218132019,Females,Australian Capital Territory,3A
3,1997-06-30,3407.8153648376465,Females,Australian Capital Territory,3A
3,1997-09-30,3569.791865348816,Females,Australian Capital Territory,3A
3,1997-12-31,3632.6575632095337,Females,Australian Capital Territory,3A
3,1998-03-31,3921.5188369750977,Females,Australian Capital Territory,3A
3,1998-06-30,2594.8554878234863,Females,Australian Capital Territory,3A
3,1998-09-30,3156.887870788574,Females,Australian Capital Territory,3A
3,1998-12-31,3129.740203857422,Females,Australian Capital Territory,3A
3,1999-03-31,3677.946997642517,Females,Australian Capital Territory,3A
3,1999-06-30,3760.209014892578,Females,Australian Capital Territory,3A
3,1999-09-30,3364.4606189727783,Females,Australian Capital Territory,3A
3,1999-12-31,3770.697193145752,Females,Australian Capital Territory,3A
3,2000-03-31,3596.0216150283813,Females,Australian Capital Territory,3A
3,2000-06-30,3298.6091079711914,Females,Australian Capital Territory,3A
